#Origin, Installation Stage, Name, Clone URL (Git only), Description
M, 1, wlsunset, , Day/night gamma adjustments for Wayland.
M, 2, words-web2, , Webster's Second International word list (FreeBSD version).
M, 1, xdg-desktop-portal, , Desktop integration portals for sandboxed apps (required for screen capture).
M, 1, xdg-desktop-portal-gtk, , A backend implementation for xdg-desktop-portal using GTK.
M, 1, xdg-desktop-portal-wlr, , A backend implementation for xdg-desktop-portal using wlroots.
M, 1, xdg-user-dirs, , A tool to help manage well-known user directories.
M, 1, xdg-utils, , A set of tools that allows applications to easily integrate with the desktop environment of the user.
M, 2, xournalpp, , A handwriting note-taking software with PDF annotation support.
M, 2, yt-dlp, , A command-line program to download videos from online video platforms.
M, 2, zathura, , A highly customizable and functional document viewer.
M, 2, zathura-cb, , Zathura's plugin to open comic book files.
M, 2, zathura-djvu, , Zathura's plugin to open DJVU files.
M, 2, zathura-pdf-mupdf, , Zathura's plugin to open PDF files.
M, 2, zathura-ps, , Zathura's plugin to open PostScript files.
M, 2, zip, , A file compression and packaging utility.
